Id,Descripcion,Fecha,TotalSi,TotalNo,TotalAbstencion,TotalDispensado,Quorum,Resultado,Tipo,TipoCode,ResultadoCode,QuorumCode
34061,Boletín N° 12027-07,2020-09-02,75,76,0,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34062,Boletín N° 12027-07,2020-09-02,75,74,1,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34063,Boletín N° 12027-07,2020-09-02,84,66,1,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34064,Boletín N° 12027-07,2020-09-02,76,75,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34065,Boletín N° 12027-07,2020-09-02,73,78,0,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34066,Boletín N° 12027-07,2020-09-02,76,75,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34067,Boletín N° 12027-07,2020-09-02,90,58,3,0,Ley Orgánica Constitucional,Aprobado,Proyecto de Ley,1,1,5
34068,Boletín N° 12027-07,2020-09-02,89,58,3,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34069,Boletín N° 12027-07,2020-09-02,89,57,2,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34070,Boletín N° 12027-07,2020-09-02,84,60,3,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34071,Boletín N° 12027-07,2020-09-02,132,16,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34072,Boletín N° 12027-07,2020-09-02,73,75,0,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34073,Boletín N° 12027-07,2020-09-02,74,73,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34074,Boletín N° 12027-07,2020-09-02,72,75,0,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34075,Boletín N° 12027-07,2020-09-02,74,73,1,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34076,Boletín N° 12027-07,2020-09-02,79,70,0,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34077,Boletín N° 12027-07,2020-09-02,73,77,0,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34078,Boletín N° 12027-07,2020-09-02,77,73,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34079,Boletín N° 12027-07,2020-09-02,77,73,1,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34080,Boletín N° 12027-07,2020-09-02,74,76,0,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34081,Boletín N° 12027-07,2020-09-02,146,3,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34082,Boletín N° 12027-07,2020-09-02,139,9,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34083,Boletín N° 12027-07,2020-09-02,76,72,1,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34084,Boletín N° 12027-07,2020-09-02,148,2,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34085,Boletín N° 12027-07,2020-09-02,147,1,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34086,Boletín N° 12027-07,2020-09-02,76,72,2,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34089,Boletín N° 12027-07,2020-09-02,76,75,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34090,Boletín N° 12027-07,2020-09-02,73,78,0,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34091,Boletín N° 12027-07,2020-09-02,77,74,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34092,Boletín N° 12027-07,2020-09-02,75,75,1,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34093,Boletín N° 12027-07,2020-09-02,84,63,2,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34094,Boletín N° 12027-07,2020-09-02,145,5,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34095,Boletín N° 12027-07,2020-09-02,76,74,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34096,Boletín N° 12027-07,2020-09-02,131,17,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34097,Boletín N° 12027-07,2020-09-02,83,64,2,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34098,Boletín N° 12027-07,2020-09-02,76,73,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34099,Boletín N° 12027-07,2020-09-02,74,73,3,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34100,Boletín N° 12027-07,2020-09-02,75,76,0,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34102,Boletín N° 12027-07,2020-09-02,75,74,2,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34110,Boletín N° 13424-07,2020-09-03,106,6,18,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34113,Boletín N° 13412-12,2020-09-03,24,76,31,1,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34114,Boletín N° 13412-12,2020-09-03,49,54,29,1,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34115,Boletín N° 13412-12,2020-09-03,16,82,36,1,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34156,Boletín N° 11188-17,2020-09-08,135,1,11,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34157,Boletín N° 11188-17,2020-09-08,81,27,40,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34158,Boletín N° 11188-17,2020-09-08,82,28,39,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34159,Boletín N° 12211-02,2020-09-08,149,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34164,"OTROS-Solicitud formulada por la Comisión Especial Investigadora de actos que pudieren significar una reducción injustificada de inscripciones de defunciones respecto de las defunciones efectivas, a causa de la enfermedad Covid-19 (CEI 50), en orden a prorrogar, por primera vez su mandato en 60 días, a contar del 26 de septiembre de 2020, por no haber podido obtener aún todas las declaraciones requeridas para cumplir su cometido.",2020-09-08,75,31,15,0,Quórum Simple,Aprobado,Otros,4,1,1
34165,Proyecto de Resolución N°,2020-09-08,123,0,0,0,Quórum Simple,Aprobado,Proyecto de Resolución,2,1,1
34166,Proyecto de Resolución N°,2020-09-08,116,3,4,0,Quórum Simple,Aprobado,Proyecto de Resolución,2,1,1
34167,Proyecto de Resolución N°,2020-09-08,122,0,0,0,Quórum Simple,Aprobado,Proyecto de Resolución,2,1,1
34168,Proyecto de Resolución N°,2020-09-08,115,0,6,0,Quórum Simple,Aprobado,Proyecto de Resolución,2,1,1
34169,Proyecto de Resolución N°,2020-09-08,112,0,2,0,Quórum Simple,Aprobado,Proyecto de Resolución,2,1,1
34175,"OTROS-Solicitud de reconsideración de la declaración de inadmisibilidad del proyecto de ley, iniciado en moción, de las diputadas señoras Cariola y Mix, y de los diputados señores Barrera; Castro, don Juan Luis; Celis, don Ricardo; Crispi; Ibáñez; Rosas; Teillier, y Torres, que &quot;Establece un descanso compensatorio y un fuero laboral para las trabajadoras y los trabajadores de la salud en contexto de pandemia.&quot;, por cuanto infringe lo dispuesto en el artículo 65, inciso cuarto, N°s 4 y 6, de la Constitución Política de la República.",2020-09-09,79,53,11,0,Quórum Simple,Aprobado,Otros,4,1,1
34176,Boletín N° 13742-13,2020-09-09,147,0,0,0,Quórum Calificado,Aprobado,Proyecto de Ley,1,1,2
34177,Boletín N° 13450-11,2020-09-09,149,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34178,Boletín N° 12649-25,2020-09-09,106,24,19,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34179,Boletín N° 12649-25,2020-09-09,102,20,26,0,Ley Orgánica Constitucional,Aprobado,Proyecto de Ley,1,1,5
34180,Boletín N° 13725-15,2020-09-09,149,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
